t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2007-12-17,1_over_t,5747,0,,,,,,,
2007-12-24,log_density,1150,5747,6.791007657726901,6.686536570635824,-3.646183925661049,0.994612798218529,0.9556859125826866,0.1471853466556842,0.323947105280717
2007-12-24,unweighted,5747,0,,,,,,,
2007-12-24,1_over_t,5747,0,,,,,,,
2007-12-31,log_density,1150,5747,6.77485670084355,6.668839402970919,-3.623471698855525,0.9947238530451922,0.9558029070080055,0.14548284846999449,0.3235191933476821
2007-12-31,unweighted,5747,0,,,,,,,
2007-12-31,1_over_t,5747,0,,,,,,,
2008-01-07,log_density,1150,5747,6.758023024187274,6.65111563763032,-3.5999996677401,0.9948059665164466,0.9559198774793193,0.14386342259645032,0.32309080246151245
2008-01-07,unweighted,5747,0,,,,,,,
2008-01-07,1_over_t,5747,0,,,,,,,
2008-01-14,log_density,1150,5747,6.738017595534878,6.633364931887127,-3.574102261355293,0.9948719502303163,0.9560368147014239,0.14255342510170999,0.3226619648249824
2008-01-14,unweighted,5747,0,,,,,,,
2008-01-14,1_over_t,5747,0,,,,,,,
2008-01-21,log_density,1150,5747,6.7241799220305865,6.615586936243688,-3.553457007664605,0.9949839952708565,0.9561537090620422,0.14048437477839354,0.32223271397544995
2008-01-21,unweighted,5747,0,,,,,,,
2008-01-21,1_over_t,5747,0,,,,,,,
2008-01-28,log_density,1150,5747,6.706618941369996,6.597781294247226,-3.529494590372046,0.9950908047257259,0.9562705506204979,0.13890326227359376,0.3218030848358703
2008-01-28,unweighted,5747,0,,,,,,,
2008-01-28,1_over_t,5747,0,,,,,,,
2008-02-04,log_density,1150,5747,6.690753274511351,6.579947642299335,-3.5070567804353203,0.9952080922328895,0.9563873290959215,0.13707934641518374,0.3213731137679322
2008-02-04,unweighted,5747,0,,,,,,,
2008-02-04,1_over_t,5747,0,,,,,,,
2008-02-11,log_density,1150,5747,6.673309095382983,6.56208560945841,-3.483464061797825,0.9953213666698301,0.9565040338549655,0.1353670835678231,0.32094283862741835
2008-02-11,unweighted,5747,0,,,,,,,
2008-02-11,1_over_t,5747,0,,,,,,,
2008-02-18,log_density,1150,5747,6.656455974673925,6.5441948172354865,-3.460313432141904,0.9954317156221956,0.9566206538990047,0.1336419442341971,0.3205122988218925
2008-02-18,unweighted,5747,0,,,,,,,
2008-02-18,1_over_t,5747,0,,,,,,,
2008-02-25,log_density,1150,5747,6.638159837560085,6.526274879382414,-3.435173005703689,0.9955124045278646,0.9567371778507971,0.13227992624762797,0.32008153537082495
2008-02-25,unweighted,5747,0,,,,,,,
2008-02-25,1_over_t,5747,0,,,,,,,
2008-03-03,log_density,1150,5747,6.619453100593667,6.508325401672322,-3.410482107752884,0.9956046562001682,0.9568535939405785,0.1307044287009654,0.3196505909682699
2008-03-03,unweighted,5747,0,,,,,,,
2008-03-03,1_over_t,5747,0,,,,,,,
2008-03-10,log_density,1150,5747,6.600662099589435,6.49034598167252,-3.3854956173337527,0.9956998859358075,0.9569698899915611,0.12918579228479304,0.31921951004821914
2008-03-10,unweighted,5747,0,,,,,,,
2008-03-10,1_over_t,5747,0,,,,,,,
2008-03-17,log_density,1150,5747,6.587559745389221,6.4723362085088505,-3.36649234684419,0.9958322667354286,0.9570860534048106,0.12667145639607413,0.31878833885275837
2008-03-17,unweighted,5747,0,,,,,,,
2008-03-17,1_over_t,5747,0,,,,,,,
2008-03-24,log_density,1150,5747,6.571355986738709,6.454295662620938,-3.3439067379830405,0.9959359856473358,0.957202071143465,0.12480881028099704,0.3183571255031635
2008-03-24,unweighted,5747,0,,,,,,,
2008-03-24,1_over_t,5747,0,,,,,,,
2008-03-31,log_density,1150,5747,6.5513212337532,6.436223915509294,-3.3171336468095944,0.9959916756130985,0.9573179297162662,0.12367374318497892,0.31792592007407827
2008-03-31,unweighted,5747,0,,,,,,,
2008-03-31,1_over_t,5747,0,,,,,,,
